tmstmp, lat, lon, vid, rt, pid
20230816 15:57:45,29.642476666666667,-82.27156166666667,710,11,4
20230816 15:57:45,29.642476666666667,-82.27156166666667,710,11,4
20230816 15:57:45,29.642476666666667,-82.27156166666667,710,11,4
20230816 15:57:45,29.642476666666667,-82.27156166666667,710,11,4
20230816 15:58:02,29.642476666666667,-82.27156166666667,710,11,4
20230816 15:58:02,29.642476666666667,-82.27156166666667,710,11,4
20230816 15:58:02,29.642476666666667,-82.27156166666667,710,11,4
20230816 15:58:02,29.642476666666667,-82.27156166666667,710,11,4
20230816 15:58:02,29.642476666666667,-82.27156166666667,710,11,4
20230816 15:58:02,29.642476666666667,-82.27156166666667,710,11,4
20230816 15:58:02,29.642476666666667,-82.27156166666667,710,11,4
20230816 15:58:02,29.642476666666667,-82.27156166666667,710,11,4
